strategy,money,countries,utilities,stations,totalLandsOwned
GREEDY,13215,6,0,3,9
GREEDY,20174,8,0,0,8
STATION_GUY,24676,4,0,1,5
UTILITY_GUY,31131,4,1,1,6
GREEDY,17034,8,0,0,8
GREEDY,13224,7,0,1,8
GREEDY,18658,10,1,0,11
GREEDY,21321,12,0,1,13
DEFAULT,51748,9,0,0,9
DEFAULT,50362,6,0,0,6
GREEDY,26123,8,2,1,11
UTILITY_GUY,33352,4,0,1,5
GREEDY,75334,9,0,1,10
GREEDY,52694,5,1,2,8
GREEDY,19361,11,2,1,14
UTILITY_GUY,44831,6,1,0,7
DEFAULT,43370,8,1,0,9
GREEDY,30641,6,0,2,8
GREEDY,29037,8,0,0,8
GREEDY,11434,10,0,1,11
UTILITY_GUY,28139,8,0,0,8
DEFAULT,54017,7,1,1,9
GREEDY,26234,6,0,1,7
DEFAULT,32414,3,1,1,5
GREEDY,16907,13,1,2,16
GREEDY,26899,7,1,1,9
GREEDY,10791,9,0,1,10
GREEDY,16785,8,0,1,9
STATION_GUY,41397,9,1,1,11
DEFAULT,36815,7,1,1,9
GREEDY,36621,11,0,0,11
GREEDY,32629,10,0,1,11
GREEDY,12636,6,0,2,8
STATION_GUY,25801,8,0,1,9
GREEDY,51221,8,0,2,10
GREEDY,21911,7,0,1,8
UTILITY_GUY,42037,7,1,0,8
STATION_GUY,39017,7,0,2,9
GREEDY,15617,11,0,1,12
GREEDY,20276,6,1,1,8
UTILITY_GUY,44097,5,0,0,5
GREEDY,23378,10,1,0,11
UTILITY_GUY,38623,3,1,1,5
GREEDY,15701,7,0,1,8
STATION_GUY,61267,5,0,1,6
DEFAULT,53598,7,0,1,8
GREEDY,37639,8,0,1,9
GREEDY,20589,9,0,2,11
STATION_GUY,61111,7,0,1,8
DEFAULT,23981,6,0,1,7
GREEDY,15206,7,0,1,8
GREEDY,25243,10,0,1,11
GREEDY,20189,7,0,1,8
DEFAULT,21951,8,0,1,9
GREEDY,19577,8,0,0,8
DEFAULT,22575,9,0,1,10
STATION_GUY,51560,4,1,4,9
UTILITY_GUY,18116,4,0,0,4
GREEDY,31597,8,1,1,10
UTILITY_GUY,63162,6,1,0,7
GREEDY,15506,10,1,2,13
GREEDY,13560,10,0,0,10
GREEDY,20810,11,1,0,12
GREEDY,21499,9,1,0,10
DEFAULT,57663,7,0,0,7
STATION_GUY,38550,6,2,3,11
STATION_GUY,56064,6,0,0,6
GREEDY,27075,7,0,0,7
STATION_GUY,73040,8,0,0,8
UTILITY_GUY,23163,3,0,0,3
DEFAULT,34307,7,0,0,7
GREEDY,20325,8,1,1,10
GREEDY,14614,7,1,2,10
STATION_GUY,42358,5,1,2,8
GREEDY,19395,6,1,2,9
DEFAULT,48370,6,1,0,7
DEFAULT,28418,5,0,0,5
GREEDY,23195,6,0,1,7
GREEDY,28433,6,1,0,7
STATION_GUY,41219,5,1,1,7
STATION_GUY,38073,5,0,3,8
GREEDY,16733,12,0,3,15
GREEDY,10349,8,1,1,10
GREEDY,70308,11,0,1,12
STATION_GUY,31314,5,0,2,7
GREEDY,20317,10,0,1,11
GREEDY,19356,7,0,1,8
GREEDY,23834,11,1,1,13
GREEDY,14639,7,1,2,10
GREEDY,23609,11,0,1,12
GREEDY,13051,8,1,0,9
DEFAULT,76241,7,0,0,7
DEFAULT,26216,9,0,2,11
GREEDY,18497,9,1,0,10
GREEDY,14166,7,1,1,9
GREEDY,21516,6,1,2,9
