strategy,money,countries,utilities,stations,totalLandsOwned
DEFAULT,204,9,1,3,13
DEFAULT,1163,6,1,3,10
DEFAULT,817,7,0,1,8
DEFAULT,482,3,1,1,5
DEFAULT,1034,5,1,3,9
GREEDY,3266,13,0,1,14
DEFAULT,522,7,2,1,10
DEFAULT,850,6,1,1,8
GREEDY,8070,11,1,3,15
GREEDY,16949,14,1,2,17
GREEDY,17377,13,2,1,16
GREEDY,613,11,0,3,14
GREEDY,5483,15,0,2,17
GREEDY,2722,15,1,2,18
GREEDY,2538,12,1,2,15
GREEDY,6282,10,1,1,12
GREEDY,262,7,1,2,10
DEFAULT,871,8,1,3,12
DEFAULT,76,8,0,1,9
GREEDY,4404,16,0,2,18
DEFAULT,626,4,0,1,5
DEFAULT,19820,9,0,2,11
DEFAULT,3374,7,2,2,11
DEFAULT,792,7,2,2,11
DEFAULT,53309,12,0,3,15
DEFAULT,41650,12,1,2,15
DEFAULT,385,7,1,1,9
GREEDY,11540,15,2,2,19
DEFAULT,426,7,1,0,8
DEFAULT,405,7,1,0,8
DEFAULT,570,3,2,3,8
GREEDY,1233,7,1,4,12
DEFAULT,959,6,0,1,7
DEFAULT,682,12,1,0,13
GREEDY,278,9,1,3,13
DEFAULT,762,6,0,0,6
GREEDY,1394,10,0,3,13
DEFAULT,734,8,2,0,10
GREEDY,617,11,2,3,16
DEFAULT,1344,8,0,3,11
DEFAULT,66,7,0,2,9
DEFAULT,6775,14,0,1,15
DEFAULT,2664,7,2,2,11
DEFAULT,20581,11,0,1,12
GREEDY,3224,17,0,3,20
GREEDY,2216,13,0,4,17
DEFAULT,19236,13,0,3,16
DEFAULT,1160,8,0,0,8
DEFAULT,12900,10,2,2,14
DEFAULT,3024,10,1,3,14
DEFAULT,984,9,1,1,11
GREEDY,7260,13,2,2,17
GREEDY,5476,12,1,3,16
GREEDY,2255,12,0,2,14
GREEDY,2929,16,0,3,19
GREEDY,1037,12,2,2,16
GREEDY,5295,13,1,3,17
DEFAULT,1173,5,1,2,8
DEFAULT,10573,9,2,3,14
GREEDY,3628,11,1,2,14
GREEDY,6065,13,2,3,18
GREEDY,564,7,1,2,10
